# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d157-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d157-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d157-x01-y01
Title=Durham jet resolution $3 \to 2$ ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d157-x01-y01
LegendXPos=0.15
XLabel=$-\ln(y_{23})$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\ln(y_{23})$
LegendYPos=0.6
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d157-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d157-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.200000e+00	1.380000e-03	2.733130e-04	2.733130e-04
1.200000e+00	1.400000e+00	1.786000e-02	1.144246e-03	1.144246e-03
1.400000e+00	1.600000e+00	3.062000e-02	1.372953e-03	1.372953e-03
1.600000e+00	1.800000e+00	4.330000e-02	1.291859e-03	1.291859e-03
1.800000e+00	2.000000e+00	5.377000e-02	2.077884e-03	2.077884e-03
2.000000e+00	2.200000e+00	6.578000e-02	1.986102e-03	1.986102e-03
2.200000e+00	2.400000e+00	7.660000e-02	2.582673e-03	2.582673e-03
2.400000e+00	2.600000e+00	8.865000e-02	2.118348e-03	2.118348e-03
2.600000e+00	2.800000e+00	9.914000e-02	2.310260e-03	2.310260e-03
2.800000e+00	3.000000e+00	1.095200e-01	2.789211e-03	2.789211e-03
3.000000e+00	3.200000e+00	1.198900e-01	3.122579e-03	3.122579e-03
3.200000e+00	3.400000e+00	1.294300e-01	3.158117e-03	3.158117e-03
3.400000e+00	3.600000e+00	1.379100e-01	3.145187e-03	3.145187e-03
3.600000e+00	3.800000e+00	1.460400e-01	5.270806e-03	5.270806e-03
3.800000e+00	4.000000e+00	1.568300e-01	5.129103e-03	5.129103e-03
4.000000e+00	4.200000e+00	1.615400e-01	5.268861e-03	5.268861e-03
4.200000e+00	4.400000e+00	1.701200e-01	4.285160e-03	4.285160e-03
4.400000e+00	4.600000e+00	1.770500e-01	4.350828e-03	4.350828e-03
4.600000e+00	4.800000e+00	1.859700e-01	4.609761e-03	4.609761e-03
4.800000e+00	5.000000e+00	1.919600e-01	4.603140e-03	4.603140e-03
5.000000e+00	5.200000e+00	2.019100e-01	4.728689e-03	4.728689e-03
5.200000e+00	5.400000e+00	2.135800e-01	4.864874e-03	4.864874e-03
5.400000e+00	5.600000e+00	2.242000e-01	5.455181e-03	5.455181e-03
5.600000e+00	5.800000e+00	2.388300e-01	5.917119e-03	5.917119e-03
5.800000e+00	6.000000e+00	2.480500e-01	6.079836e-03	6.079836e-03
6.000000e+00	6.200000e+00	2.527700e-01	5.254179e-03	5.254179e-03
6.200000e+00	6.400000e+00	2.495700e-01	5.706961e-03	5.706961e-03
6.400000e+00	6.600000e+00	2.413000e-01	6.815262e-03	6.815262e-03
6.600000e+00	6.800000e+00	2.212500e-01	1.128700e-02	1.128700e-02
6.800000e+00	7.000000e+00	1.916700e-01	8.852853e-03	8.852853e-03
7.000000e+00	7.200000e+00	1.612100e-01	7.712075e-03	7.712075e-03
7.200000e+00	7.400000e+00	1.264900e-01	8.359671e-03	8.359671e-03
7.400000e+00	7.600000e+00	9.439000e-02	6.183381e-03	6.183381e-03
7.600000e+00	7.800000e+00	6.597000e-02	4.473992e-03	4.473992e-03
7.800000e+00	8.000000e+00	4.344000e-02	3.420249e-03	3.420249e-03
8.000000e+00	8.200000e+00	2.638000e-02	2.329764e-03	2.329764e-03
8.200000e+00	8.400000e+00	1.559000e-02	1.848405e-03	1.848405e-03
8.400000e+00	8.600000e+00	8.820000e-03	1.894861e-03	1.894861e-03
8.600000e+00	8.800000e+00	4.790000e-03	1.643107e-03	1.643107e-03
8.800000e+00	9.000000e+00	2.530000e-03	1.308778e-03	1.308778e-03
9.000000e+00	9.200000e+00	1.700000e-03	1.238749e-03	1.238749e-03
9.200000e+00	9.400000e+00	9.500000e-04	7.805767e-04	7.805767e-04
9.400000e+00	9.600000e+00	4.100000e-04	3.446738e-04	3.446738e-04
9.600000e+00	9.800000e+00	3.700000e-04	3.977436e-04	3.977436e-04
9.800000e+00	1.000000e+01	1.900000e-04	1.987461e-04	1.987461e-04
1.000000e+01	1.020000e+01	1.100000e-04	6.708204e-05	6.708204e-05
1.020000e+01	1.040000e+01	9.000000e-05	1.334166e-04	1.334166e-04
1.040000e+01	1.060000e+01	3.000000e-05	2.634388e-04	2.634388e-04
1.060000e+01	1.080000e+01	5.000000e-05	5.916080e-05	5.916080e-05
# END HISTO1D

