# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d173-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d173-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d173-x01-y01
Title=Durham jet resolution $5 \to 4$ ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d173-x01-y01
LegendXPos=0.25
XLabel=$-\ln(y_{45})$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\ln(y_{45})$
LegendYPos=0.4
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d173-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d173-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.200000e+00	3.400000e+00	7.000000e-05	3.464102e-05	3.464102e-05
3.400000e+00	3.600000e+00	3.000000e-04	1.500000e-04	1.500000e-04
3.600000e+00	3.800000e+00	5.800000e-04	2.894823e-04	2.894823e-04
3.800000e+00	4.000000e+00	1.540000e-03	1.989975e-04	1.989975e-04
4.000000e+00	4.200000e+00	2.540000e-03	2.861818e-04	2.861818e-04
4.200000e+00	4.400000e+00	4.530000e-03	5.908468e-04	5.908468e-04
4.400000e+00	4.600000e+00	7.310000e-03	7.801282e-04	7.801282e-04
4.600000e+00	4.800000e+00	1.153000e-02	1.344842e-03	1.344842e-03
4.800000e+00	5.000000e+00	1.691000e-02	1.852782e-03	1.852782e-03
5.000000e+00	5.200000e+00	2.486000e-02	2.698537e-03	2.698537e-03
5.200000e+00	5.400000e+00	3.563000e-02	3.956084e-03	3.956084e-03
5.400000e+00	5.600000e+00	5.206000e-02	5.650398e-03	5.650398e-03
5.600000e+00	5.800000e+00	7.552000e-02	5.607477e-03	5.607477e-03
5.800000e+00	6.000000e+00	1.076600e-01	8.021097e-03	8.021097e-03
6.000000e+00	6.200000e+00	1.486300e-01	1.063263e-02	1.063263e-02
6.200000e+00	6.400000e+00	2.003700e-01	5.646424e-03	5.646424e-03
6.400000e+00	6.600000e+00	2.525500e-01	7.943456e-03	7.943456e-03
6.600000e+00	6.800000e+00	3.090400e-01	1.031393e-02	1.031393e-02
6.800000e+00	7.000000e+00	3.630600e-01	4.148084e-03	4.148084e-03
7.000000e+00	7.200000e+00	4.063100e-01	4.384119e-03	4.384119e-03
7.200000e+00	7.400000e+00	4.316600e-01	5.173664e-03	5.173664e-03
7.400000e+00	7.600000e+00	4.426500e-01	6.217403e-03	6.217403e-03
7.600000e+00	7.800000e+00	4.299400e-01	5.504489e-03	5.504489e-03
7.800000e+00	8.000000e+00	3.995400e-01	5.270636e-03	5.270636e-03
8.000000e+00	8.200000e+00	3.483500e-01	1.287081e-02	1.287081e-02
8.200000e+00	8.400000e+00	2.902600e-01	1.086794e-02	1.086794e-02
8.400000e+00	8.600000e+00	2.274600e-01	9.425381e-03	9.425381e-03
8.600000e+00	8.800000e+00	1.623300e-01	8.918498e-03	8.918498e-03
8.800000e+00	9.000000e+00	1.071100e-01	5.714000e-03	5.714000e-03
9.000000e+00	9.200000e+00	6.511000e-02	3.683327e-03	3.683327e-03
9.200000e+00	9.400000e+00	3.520000e-02	1.213507e-03	1.213507e-03
