# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d28-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_DM@LEP/New_plots/T1.yoda/ALEPH_1996_S3486095/d28-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_DM@LEP/New_plots/T2.yoda/ALEPH_1996_S3486095/d28-x01-y01 /T10.yoda/ALEPH_1996_S3486095/d28-x01-y01
DrawOnly=/ALEPH_1996_S3486095/d28-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_DM@LEP/New_plots/T1.yoda/ALEPH_1996_S3486095/d28-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_DM@LEP/New_plots/T2.yoda/ALEPH_1996_S3486095/d28-x01-y01 /T10.yoda/ALEPH_1996_S3486095/d28-x01-y01
Title=$\gamma$ spectrum
RatioPlot=0
LogY=1
FullRange=1
RatioPlotReference=/ALEPH_1996_S3486095/d28-x01-y01
XLabel=$\xi_p$
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{\xi_p}$
LegendYPos=0.75
Legend=1
GofType=chi2
GofReference=/ALEPH_1996_S3486095/d28-x01-y01
GofLegend=1
PlotSize=10,8
RatioPlot1=1
RatioPlot1DrawOnly=/ALEPH_1996_S3486095/d28-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_DM@LEP/New_plots/T1.yoda/ALEPH_1996_S3486095/d28-x01-y01
RatioPlot1DrawReferenceFirst=0
RatioPlot1Reference=/ALEPH_1996_S3486095/d28-x01-y01
RatioPlot1SameStyle=1
RatioPlot1YLabel=MC/data
RatioPlot1YMajorTickMarks=20
RatioPlot1YMax=1.4999
RatioPlot1YMin=0.5001
RatioPlot1YSize=3
RatioPlot2=1
RatioPlot2DrawOnly=/ALEPH_1996_S3486095/d28-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_DM@LEP/New_plots/T2.yoda/ALEPH_1996_S3486095/d28-x01-y01
RatioPlot2DrawReferenceFirst=0
RatioPlot2Reference=/ALEPH_1996_S3486095/d28-x01-y01
RatioPlot2SameStyle=1
RatioPlot2YLabel=MC/data
RatioPlot2YMajorTickMarks=20
RatioPlot2YMax=1.4999
RatioPlot2YMin=0.5001
RatioPlot2YSize=3
RatioPlot3=1
RatioPlot3DrawOnly=/ALEPH_1996_S3486095/d28-x01-y01 /T10.yoda/ALEPH_1996_S3486095/d28-x01-y01
RatioPlot3DrawReferenceFirst=0
RatioPlot3Reference=/ALEPH_1996_S3486095/d28-x01-y01
RatioPlot3SameStyle=1
RatioPlot3YLabel=MC/data
RatioPlot3YMajorTickMarks=20
RatioPlot3YMax=1.4999
RatioPlot3YMin=0.5001
RatioPlot3YSize=3
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d28-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d28-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.000000e-04	1.800000e-04	1.800000e-04
1.000000e-01	2.000000e-01	4.500000e-03	3.900000e-03	3.900000e-03
2.000000e-01	3.000000e-01	1.430000e-02	9.600000e-03	9.600000e-03
3.000000e-01	4.000000e-01	1.850000e-02	7.800000e-03	7.800000e-03
4.000000e-01	5.000000e-01	2.510000e-02	7.500000e-03	7.500000e-03
5.000000e-01	6.000000e-01	2.560000e-02	7.100000e-03	7.100000e-03
6.000000e-01	7.000000e-01	4.600000e-02	1.400000e-02	1.400000e-02
7.000000e-01	8.000000e-01	5.500000e-02	1.700000e-02	1.700000e-02
8.000000e-01	9.000000e-01	8.700000e-02	1.600000e-02	1.600000e-02
9.000000e-01	1.000000e+00	1.360000e-01	2.000000e-02	2.000000e-02
1.000000e+00	1.100000e+00	1.820000e-01	3.600000e-02	3.600000e-02
1.100000e+00	1.200000e+00	2.460000e-01	3.100000e-02	3.100000e-02
1.200000e+00	1.300000e+00	3.000000e-01	3.900000e-02	3.900000e-02
1.300000e+00	1.400000e+00	3.830000e-01	2.700000e-02	2.700000e-02
1.400000e+00	1.500000e+00	4.570000e-01	5.500000e-02	5.500000e-02
1.500000e+00	1.600000e+00	5.380000e-01	4.800000e-02	4.800000e-02
1.600000e+00	1.700000e+00	6.250000e-01	4.300000e-02	4.300000e-02
1.700000e+00	1.800000e+00	8.150000e-01	5.500000e-02	5.500000e-02
1.800000e+00	1.900000e+00	9.960000e-01	5.900000e-02	5.900000e-02
1.900000e+00	2.000000e+00	1.126000e+00	6.600000e-02	6.600000e-02
2.000000e+00	2.100000e+00	1.300000e+00	7.500000e-02	7.500000e-02
2.100000e+00	2.200000e+00	1.458000e+00	8.100000e-02	8.100000e-02
2.200000e+00	2.300000e+00	1.662000e+00	8.300000e-02	8.300000e-02
2.300000e+00	2.400000e+00	1.899000e+00	9.200000e-02	9.200000e-02
2.400000e+00	2.500000e+00	2.120000e+00	1.000000e-01	1.000000e-01
2.500000e+00	2.600000e+00	2.270000e+00	1.100000e-01	1.100000e-01
2.600000e+00	2.700000e+00	2.550000e+00	1.300000e-01	1.300000e-01
2.700000e+00	2.800000e+00	2.730000e+00	1.200000e-01	1.200000e-01
2.800000e+00	2.900000e+00	3.060000e+00	1.300000e-01	1.300000e-01
2.900000e+00	3.000000e+00	3.190000e+00	1.400000e-01	1.400000e-01
3.000000e+00	3.100000e+00	3.490000e+00	1.400000e-01	1.400000e-01
3.100000e+00	3.200000e+00	3.790000e+00	1.600000e-01	1.600000e-01
3.200000e+00	3.300000e+00	3.910000e+00	1.600000e-01	1.600000e-01
3.300000e+00	3.400000e+00	4.200000e+00	1.700000e-01	1.700000e-01
3.400000e+00	3.500000e+00	4.490000e+00	1.900000e-01	1.900000e-01
3.500000e+00	3.600000e+00	4.470000e+00	1.900000e-01	1.900000e-01
3.600000e+00	3.700000e+00	4.880000e+00	2.100000e-01	2.100000e-01
3.700000e+00	3.800000e+00	5.110000e+00	2.100000e-01	2.100000e-01
3.800000e+00	3.900000e+00	5.410000e+00	2.300000e-01	2.300000e-01
3.900000e+00	4.000000e+00	5.500000e+00	2.400000e-01	2.400000e-01
